4
[MAP]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
200	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	
400	8	3	3	2	2	1	1	1	0	1	2	1	3	5	4	2	2	2	1	0	1	2	5	4	3	6	4	6	8	3	5	6	
600	29	9	7	12	12	5	1	1	2	9	5	6	8	14	17	11	2	4	1	3	8	7	15	11	10	11	13	21	15	16	13	17	
800	49	6	8	9	10	3	7	5	6	12	5	8	10	13	15	8	3	4	4	6	10	13	14	9	7	15	16	33	20	20	15	29	
1000	62	9	9	8	11	3	4	4	6	11	3	4	9	11	18	6	1	1	3	5	7	13	11	16	19	13	13	33	24	29	20	34	
1200	93	6	5	3	4	1	5	5	3	7	2	5	7	18	17	4	3	2	3	5	5	9	8	15	15	11	14	31	25	37	27	39	
1400	115	9	13	8	13	4	9	7	7	11	5	9	13	11	19	8	5	5	4	7	6	13	17	23	20	24	18	48	24	42	32	54	
1600	96	5	11	4	10	4	4	4	1	9	3	4	8	11	12	10	3	3	1	2	7	14	6	16	15	11	14	38	13	32	16	43	
1800	90	3	4	0	3	2	6	6	1	10	1	3	4	16	9	3	0	2	0	3	4	6	4	12	12	9	4	40	12	30	19	44	
[JM]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
200	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	
400	8	2	1	1	2	0	0	0	2	1	1	2	2	3	4	1	1	0	2	0	4	1	6	5	3	6	4	5	7	4	3	6	
600	29	9	8	12	9	5	2	1	3	8	8	6	10	13	16	11	3	4	1	3	8	6	13	10	11	12	13	22	16	17	11	18	
800	49	5	3	3	5	5	3	2	4	8	6	7	8	8	11	6	6	5	4	5	5	9	10	10	9	11	15	29	16	16	13	25	
1000	62	8	6	9	11	4	6	6	5	10	4	6	7	11	15	10	5	3	4	7	8	12	15	17	19	13	13	36	24	31	21	33	
1200	93	2	2	5	3	0	1	1	1	4	2	4	4	19	18	4	0	1	2	2	4	7	9	13	11	9	11	31	22	38	25	35	
1400	115	2	3	4	6	4	3	2	3	7	2	5	5	10	13	6	4	4	1	5	4	8	16	17	17	20	14	42	18	37	26	51	
